mavpackettype,TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
IMU,49770473,-0.051303714513778687,0.030052848160266876,0.004615809768438339,-1.0149385929107666,-0.7697004675865173,-9.553426742553711,0,0,55.18985366821289,1,1,998,998
IMU,49811119,-0.017204636707901955,-0.07029832154512405,0.05398261174559593,0.39823415875434875,1.1750619411468506,-9.068418502807617,0,0,55.189754486083984,1,1,998,998
IMU,49851482,-0.004612439312040806,-0.03451105207204819,0.003453953191637993,0.565861165523529,-0.5831817388534546,-9.89851188659668,0,0,55.190032958984375,1,1,998,998
IMU,49891420,0.055153023451566696,0.014092259109020233,-0.029567932710051537,-0.40929925441741943,0.29539018869400024,-10.6978759765625,0,0,55.19013977050781,1,1,998,998
IMU,49932141,0.04216235503554344,0.0863937959074974,-0.057223424315452576,-1.2485136985778809,0.526584804058075,-9.34231948852539,0,0,55.190345764160156,1,1,998,998
IMU,49971862,-0.044374980032444,-0.011709107086062431,-0.0007377909496426582,-0.35342445969581604,-0.5251886248588562,-9.720321655273438,0,0,55.1905403137207,1,1,998,998
IMU,50012683,-0.04644826799631119,-0.06594783812761307,0.12616483867168427,0.6776976585388184,-0.5842862129211426,-9.52442455291748,0,0,55.19083786010742,1,1,998,998
IMU,50053715,-0.026136327534914017,-0.016301646828651428,0.013008070178329945,0.6456196308135986,-0.43919360637664795,-10.660993576049805,0,0,55.191856384277344,1,1,998,998
IMU,50093796,0.06400024145841599,0.07743404805660248,-0.1042773425579071,-1.7157478332519531,0.9955040216445923,-8.948779106140137,0,0,55.19307327270508,1,1,998,998
IMU,50134398,-0.0004650603514164686,0.056330546736717224,-0.02821548469364643,-1.2082194089889526,-0.15235891938209534,-9.128999710083008,0,0,55.195716857910156,1,1,998,998
IMU,50174416,-0.03735070303082466,-0.09104131162166595,0.1566230058670044,1.0191197395324707,-0.8741224408149719,-10.057451248168945,0,0,55.199188232421875,1,1,998,998
IMU,50214843,-0.03775927051901817,-0.02272477187216282,0.0027728192508220673,0.43505120277404785,-0.16922304034233093,-10.374711990356445,0,0,55.202152252197266,1,1,998,998
IMU,50255151,0.04960927367210388,0.05951059237122536,-0.0634571835398674,-1.257385492324829,1.1601520776748657,-9.533076286315918,0,0,55.204715728759766,1,1,998,998
IMU,50294833,0.014459836296737194,0.07522788643836975,-0.0015057893469929695,-1.348099946975708,-0.6736510992050171,-9.482919692993164,0,0,55.207130432128906,1,1,998,998
IMU,50336197,-0.025247875601053238,-0.07709535956382751,0.05838865041732788,0.8803972005844116,-0.4258873164653778,-9.853553771972656,0,0,55.20957565307617,1,1,998,998
IMU,50376145,0.009994444437325,-0.021971475332975388,-0.07198174297809601,0.19417789578437805,0.6086547374725342,-9.437171936035156,0,0,55.212257385253906,1,1,998,998
IMU,50417093,-0.01782899722456932,-0.046229101717472076,0.012477386742830276,0.13743779063224792,-2.2334725856781006,-11.01966667175293,0,0,55.213844299316406,1,1,998,998
IMU,50457069,-0.024266377091407776,0.0014945999719202518,-0.011741198599338531,0.6654436588287354,-0.469417005777359,-10.396733283996582,0,0,55.21562194824219,1,1,998,998
IMU,50497180,0.04373457655310631,0.027213674038648605,-0.017670268192887306,-0.6178487539291382,1.9246830940246582,-8.810781478881836,0,0,55.21787643432617,1,1,998,998
IMU,50537562,-0.0464303083717823,0.016652921214699745,-0.035718582570552826,-1.086563229560852,-0.38712024688720703,-9.618188858032227,0,0,55.220088958740234,1,1,998,998
IMU,50577437,-0.050706200301647186,-0.09092540293931961,0.14099480211734772,1.093604564666748,-2.1762421131134033,-10.640900611877441,0,0,55.22240447998047,1,1,998,998
IMU,50618225,-0.007418515160679817,0.03219190612435341,0.018707275390625,-0.6384397149085999,0.1441154181957245,-9.96039867401123,0,0,55.22421646118164,1,1,998,998
IMU,50658349,0.0533122718334198,0.07271559536457062,-0.057767655700445175,-1.1413072347640991,0.5313367247581482,-9.23660659790039,0,0,55.22502517700195,1,1,998,998
IMU,50698283,-0.048155777156353,-0.005240824073553085,-0.026822924613952637,-0.34895485639572144,-0.9016938209533691,-9.716931343078613,0,0,55.22692108154297,1,1,998,998
IMU,50738828,-0.04746526852250099,-0.06288877129554749,0.04749034345149994,1.5451526641845703,-1.1127694845199585,-10.32750415802002,0,0,55.229129791259766,1,1,998,998
IMU,50778788,0.041023992002010345,0.060843709856271744,0.02005407027900219,-1.3902894258499146,1.0154480934143066,-10.129576683044434,0,0,55.23119354248047,1,1,998,998
IMU,50819546,0.003077569417655468,0.06681583821773529,0.029848270118236542,-0.9074104428291321,-0.6183453798294067,-9.278850555419922,0,0,55.233123779296875,1,1,998,998
IMU,50860117,-0.04053111374378204,-0.06974157691001892,0.04948906973004341,0.7899363040924072,-0.6357305645942688,-10.21633529663086,0,0,55.23545837402344,1,1,998,998
IMU,50900196,0.0147544639185071,-0.015941651538014412,-0.06361479312181473,0.35874712467193604,0.7206941843032837,-9.835897445678711,0,0,55.23618698120117,1,1,998,998
IMU,50940734,-0.0029803067445755005,-0.014114517718553543,0.014590919017791748,-0.2057158350944519,-1.7499446868896484,-11.174131393432617,0,0,55.237396240234375,1,1,998,998
IMU,50980517,-0.012696036137640476,0.03293931856751442,-0.0010708095505833626,0.0006429757922887802,1.0759265422821045,-9.373262405395508,0,0,55.23937225341797,1,1,998,998
IMU,51021197,0.009281027130782604,0.01885213330388069,-0.07557453960180283,-0.7819363474845886,1.0662422180175781,-8.48941707611084,0,0,55.24135208129883,1,1,998,998
IMU,51062073,-0.028160475194454193,0.019833648577332497,0.018224215134978294,-1.1446287631988525,-1.2791638374328613,-10.73585319519043,0,0,55.24195098876953,1,1,998,998
IMU,51101809,-0.0089784637093544,0.006619722116738558,0.05967514216899872,0.13012570142745972,-1.0678143501281738,-10.222380638122559,0,0,55.240516662597656,1,1,998,998
IMU,51142037,-0.012034079991281033,-0.019489843398332596,0.027782060205936432,0.18360432982444763,0.4759180247783661,-8.893848419189453,0,0,55.239768981933594,1,1,998,998
IMU,51181841,0.011484541930258274,-0.019096877425909042,-0.09904170781373978,-0.5572637319564819,0.32842883467674255,-9.128965377807617,0,0,55.239871978759766,1,1,998,998
IMU,51222661,-0.027930865064263344,-0.05318330228328705,0.06474245339632034,0.22506752610206604,-2.243690252304077,-11.511553764343262,0,0,55.24055480957031,1,1,998,998
IMU,51262371,-0.005805830005556345,-0.005736165679991245,0.004040502477437258,0.22473518550395966,0.09214052557945251,-9.871641159057617,0,0,55.24210739135742,1,1,998,998
IMU,51302366,-0.0017702244222164154,-0.02158217877149582,0.014710827730596066,0.004578553140163422,1.0410820245742798,-8.909997940063477,0,0,55.24354934692383,1,1,998,998
IMU,51343326,-0.0004925457760691643,0.00830138474702835,-0.05468489229679108,-0.17437827587127686,0.3705376088619232,-10.267522811889648,0,0,55.244319915771484,1,1,998,998
IMU,51383432,0.0026397360488772392,0.03582189232110977,0.015557611361145973,-1.0897282361984253,-1.7427668571472168,-10.476506233215332,0,0,55.24524688720703,1,1,998,998
IMU,51423780,-0.007676251232624054,-0.003291032277047634,0.0036405690480023623,0.03930547088384628,0.08868114650249481,-8.766646385192871,0,0,55.24681854248047,1,1,998,998
IMU,51463664,0.013596244156360626,-0.006168006453663111,-0.04322262853384018,-0.459839791059494,0.6281424164772034,-9.064560890197754,0,0,55.2492790222168,1,1,998,998
IMU,51503704,-0.010760803706943989,-0.03326405957341194,0.029109204187989235,-0.2696523368358612,-1.530287265777588,-10.863472938537598,0,0,55.253028869628906,1,1,998,998
IMU,51544495,-0.01811494305729866,-0.03511257842183113,-0.03456227481365204,1.1644834280014038,0.16637587547302246,-10.44113540649414,0,0,55.257083892822266,1,1,998,998
IMU,51584289,0.08592820912599564,0.08237583190202713,-0.05683375895023346,-1.8983349800109863,1.6919068098068237,-8.98343276977539,0,0,55.26066207885742,1,1,998,998
IMU,51624828,-0.06034146621823311,0.02857767418026924,0.047659218311309814,-0.7418466806411743,-0.7615222930908203,-9.079790115356445,0,0,55.26411437988281,1,1,998,998
IMU,51664616,-0.062050238251686096,-0.045849185436964035,0.07556203007698059,0.5851637125015259,-1.0124504566192627,-11.249113082885742,0,0,55.26766586303711,1,1,998,998
IMU,51704768,-0.004493962042033672,0.024797389283776283,-0.03507146239280701,-0.2879266142845154,-0.06104022637009621,-9.46489143371582,0,0,55.27060317993164,1,1,998,998
IMU,51745044,0.013633949682116508,-0.014082323759794235,0.006742650642991066,-0.3139788508415222,0.6136979460716248,-8.849861145019531,0,0,55.273746490478516,1,1,998,998
IMU,51784755,0.013141319155693054,0.016954824328422546,-0.04566168785095215,-0.5125490427017212,0.1698225736618042,-10.04736614227295,0,0,55.27619552612305,1,1,998,998
IMU,51825445,-0.033676568418741226,-0.040486887097358704,0.009149737656116486,0.6342213153839111,-1.6168403625488281,-10.983652114868164,0,0,55.27827835083008,1,1,998,998
IMU,51865634,0.03986068814992905,0.04123944044113159,0.01800697110593319,-0.7581169605255127,1.8454993963241577,-8.737804412841797,0,0,55.28029251098633,1,1,998,998
IMU,51905450,-0.007981142960488796,0.02420654147863388,-0.03214069455862045,-0.7451221942901611,0.5806997418403625,-8.956159591674805,0,0,55.28230285644531,1,1,998,998
IMU,51946120,-0.05064728856086731,-0.015801459550857544,0.06423253566026688,-0.64658123254776,-2.02238392829895,-10.70550537109375,0,0,55.2851448059082,1,1,998,998
IMU,51986052,-0.033512093126773834,-0.04424336552619934,0.03703902289271355,0.7737734913825989,-1.1530386209487915,-10.79323673248291,0,0,55.287288665771484,1,1,998,998
IMU,52026726,0.06294956058263779,0.05552521347999573,-0.0009993563871830702,-0.7830517292022705,1.7833654880523682,-9.156659126281738,0,0,55.288936614990234,1,1,998,998
IMU,52067371,0.020024601370096207,0.022928794845938683,-0.046756863594055176,-0.9356368780136108,1.1656405925750732,-8.660983085632324,0,0,55.28927230834961,1,1,998,998
IMU,52107381,-0.06267298758029938,-0.025128282606601715,0.006723557598888874,-0.18020425736904144,-1.13880455493927,-10.498711585998535,0,0,55.291141510009766,1,1,998,998
IMU,52147796,-0.05245566740632057,-0.07532031834125519,0.12867413461208344,1.2749595642089844,-1.858720302581787,-10.283405303955078,0,0,55.29261779785156,1,1,998,998
IMU,52187803,0.0014178527053445578,0.00851239450275898,-0.01683907024562359,0.024068813771009445,0.4416336119174957,-10.384523391723633,0,0,55.29387664794922,1,1,998,998
IMU,52228502,0.061754509806632996,0.07696666568517685,-0.08300291746854782,-1.4570369720458984,-0.6623591780662537,-9.769338607788086,0,0,55.294639587402344,1,1,998,998
IMU,52267609,-0.011962096206843853,0.02604108862578869,-0.015108538791537285,-0.6192389130592346,-0.5070961117744446,-10.187091827392578,0,0,55.294837951660156,1,1,998,998
IMU,52307691,0.018054690212011337,0.016162434592843056,0.07761185616254807,-0.3053167164325714,1.69028639793396,-8.652545928955078,0,0,55.29503631591797,1,1,998,998
IMU,52348759,-0.022931773215532303,-0.028673531487584114,-0.005520556587725878,-0.1281910389661789,0.22839370369911194,-9.455083847045898,0,0,55.2960205078125,1,1,998,998
IMU,52388628,-0.003999204374849796,0.02286519668996334,-0.0647047683596611,-0.33184385299682617,-0.8079036474227905,-10.006111145019531,0,0,55.29801940917969,1,1,998,998
IMU,52429313,-0.011272165924310684,-0.02654990181326866,0.035778217017650604,-0.07282398641109467,-2.1065754890441895,-11.052325248718262,0,0,55.30027389526367,1,1,998,998
IMU,52468724,0.004063835833221674,-0.006803374737501144,0.014787493273615837,0.017627041786909103,-0.0048988014459609985,-9.556882858276367,0,0,55.30162048339844,1,1,998,998
IMU,52509122,0.01554735004901886,-0.007193801924586296,-0.0646890252828598,-0.30518674850463867,1.791430950164795,-8.989012718200684,0,0,55.302886962890625,1,1,998,998
IMU,52549469,-0.01525610126554966,0.00010408833622932434,-0.10498474538326263,-0.5432531237602234,0.4526076316833496,-8.93995475769043,0,0,55.30457305908203,1,1,998,998
IMU,52589463,-0.042549826204776764,-0.051309943199157715,0.1540532112121582,0.19802594184875488,-2.4624547958374023,-10.945096969604492,0,0,55.30585861206055,1,1,998,998
IMU,52629873,-0.04746882617473602,-0.03430831432342529,0.06053939834237099,0.5634749531745911,-1.3905220031738281,-10.941994667053223,0,0,55.30681610107422,1,1,998,998
IMU,52669389,0.023917170241475105,0.008713832125067711,-0.10896185785531998,0.013123075477778912,1.7239329814910889,-9.634175300598145,0,0,55.30805969238281,1,1,998,998
IMU,52709406,0.046714700758457184,0.08696310967206955,-0.04634760320186615,-1.8664487600326538,1.1391716003417969,-8.850382804870605,0,0,55.30903625488281,1,1,998,998
IMU,52749805,-0.04668297991156578,0.03695802390575409,0.07230223715305328,-0.7834650278091431,-0.6273487210273743,-9.054085731506348,0,0,55.3109130859375,1,1,998,998
IMU,52789702,-0.04804849624633789,-0.05587826669216156,0.043745122849941254,0.42572304606437683,-0.9904100894927979,-10.882089614868164,0,0,55.311527252197266,1,1,998,998
IMU,52830572,-0.005777757614850998,-0.03782157599925995,-0.05830814689397812,1.0147144794464111,-0.34933701157569885,-10.37647533416748,0,0,55.3123779296875,1,1,998,998
IMU,52869829,0.07432190328836441,0.046146783977746964,0.007439569104462862,-0.9509397745132446,1.8022605180740356,-9.08218002319336,0,0,55.3152961730957,1,1,998,998
IMU,52909841,-0.03167970851063728,0.028167568147182465,-0.05596470832824707,-1.1731243133544922,-0.0358167365193367,-8.998387336730957,0,0,55.318729400634766,1,1,998,998
IMU,52950530,-0.03647777438163757,-0.06182415783405304,0.1061265766620636,0.3230520486831665,-2.254382371902466,-11.1434326171875,0,0,55.320953369140625,1,1,998,998
IMU,52990398,-0.04391960799694061,-0.01956396922469139,0.0765145868062973,0.09773658215999603,-0.7804928421974182,-10.609786987304688,0,0,55.323951721191406,1,1,998,998
IMU,53031235,0.03714575991034508,0.013807917013764381,-0.08926654607057571,-0.7999985814094543,1.606884479522705,-8.485106468200684,0,0,55.32783126831055,1,1,998,998
IMU,53071844,-0.0003529749228619039,0.004555496387183666,-0.09216486662626266,-0.40342456102371216,0.3077741861343384,-9.319575309753418,0,0,55.3310661315918,1,1,998,998
IMU,53111874,-0.01886231079697609,-0.01095250342041254,0.08766470849514008,-0.33676451444625854,-1.5424273014068604,-11.032218933105469,0,0,55.33357620239258,1,1,998,998
IMU,53152463,-0.033478111028671265,0.029931610450148582,0.0668187141418457,-0.33129334449768066,-0.7277119755744934,-10.251681327819824,0,0,55.33658218383789,1,1,998,998
IMU,53192397,0.014250104315578938,0.00153269711881876,-0.03024376556277275,-0.5706249475479126,1.8961663246154785,-8.442571640014648,0,0,55.337276458740234,1,1,998,998
IMU,53232830,-0.011590623296797276,0.031794920563697815,-0.05604438856244087,-1.0407732725143433,-0.26117148995399475,-9.173370361328125,0,0,55.3391227722168,1,1,998,998
IMU,53272613,-0.03374284505844116,-0.054605089128017426,0.07454824447631836,0.28054043650627136,-2.227815628051758,-10.779370307922363,0,0,55.342140197753906,1,1,998,998
IMU,53312834,-0.01386081799864769,-0.03607049211859703,-0.027443647384643555,1.2036389112472534,0.43302416801452637,-10.946586608886719,0,0,55.344573974609375,1,1,998,998
