mavpackettype,TimeUS,Volt,VoltR,Curr,CurrTot,Temp,Res
BAT,59675198,15.289000511169434,100.0,11.572000503540039,30.0,32.5,0.0
BAT,59776287,15.289000511169434,100.0,11.572000503540039,30.0,32.5,0.0
BAT,59876628,15.238000869750977,100.0,11.14900016784668,30.0,32.5,0.0
BAT,59977606,15.238000869750977,100.0,11.14900016784668,30.0,32.5,0.0
BAT,60077860,15.295001029968262,100.0,11.38700008392334,30.0,32.5,0.0
BAT,60179874,15.295001029968262,100.0,11.38700008392334,30.0,32.5,0.0
BAT,60279870,15.295001029968262,100.0,11.38700008392334,30.0,32.5,0.0
BAT,60381416,15.226000785827637,100.0,11.154000282287598,30.0,32.5,0.0
BAT,60482502,15.226000785827637,100.0,11.154000282287598,30.0,32.5,0.0
BAT,60583570,15.195000648498535,100.0,11.3100004196167,30.0,32.5,0.0
BAT,60683607,15.195000648498535,100.0,11.3100004196167,33.0,32.5,0.0
BAT,60784652,15.195000648498535,100.0,11.3100004196167,33.0,32.5,0.0
BAT,60884788,15.178000450134277,100.0,11.214000701904297,33.0,32.5,0.0
BAT,60985769,15.178000450134277,100.0,11.214000701904297,33.0,32.5,0.0
BAT,61086387,15.225000381469727,100.0,11.144000053405762,33.0,32.5,0.0
BAT,61189410,15.225000381469727,100.0,11.144000053405762,33.0,32.5,0.0
BAT,61289699,15.225000381469727,100.0,11.144000053405762,33.0,32.5,0.0
BAT,61390838,15.141000747680664,100.0,11.257000923156738,33.0,32.5,0.0
BAT,61491791,15.141000747680664,100.0,11.28700065612793,33.0,32.5,0.0
BAT,61592723,15.13800048828125,100.0,11.28700065612793,33.0,32.5,0.0
BAT,61693127,15.13800048828125,100.0,11.28700065612793,36.0,32.5,0.0
BAT,61794151,15.13800048828125,100.0,11.419000625610352,36.0,32.5,0.0
BAT,61894623,15.170001029968262,100.0,11.419000625610352,36.0,32.5,0.0
BAT,61995648,15.170001029968262,100.0,11.570000648498535,36.0,32.5,0.0
BAT,62096679,15.171000480651855,100.0,11.570000648498535,36.0,32.5,0.0
BAT,62198802,15.171000480651855,100.0,11.570000648498535,36.0,32.5,0.0
BAT,62299057,15.171000480651855,100.0,11.845000267028809,36.0,32.5,0.0
BAT,62400120,15.069000244140625,100.0,11.845000267028809,36.0,32.5,0.0
BAT,62501051,14.91200065612793,100.0,12.522000312805176,36.0,32.5,0.0
BAT,62602173,14.91200065612793,100.0,12.522000312805176,39.0,32.5,0.0
BAT,62703048,14.91200065612793,100.0,12.522000312805176,39.0,32.5,0.0
BAT,62803379,14.80000114440918,100.0,13.522000312805176,39.0,32.5,0.0
BAT,62904266,14.80000114440918,100.0,13.522000312805176,39.0,32.5,0.0
BAT,63005348,14.844000816345215,100.0,13.815000534057617,39.0,32.5,0.0
BAT,63105861,14.844000816345215,100.0,13.815000534057617,39.0,32.5,0.0
BAT,63207226,14.844000816345215,100.0,13.815000534057617,39.0,32.5,0.0
BAT,63307126,14.995000839233398,100.0,13.457000732421875,39.0,32.5,0.0
BAT,63407093,14.995000839233398,100.0,13.457000732421875,39.0,32.5,0.0
BAT,63508091,14.916000366210938,100.0,12.995000839233398,39.0,32.5,0.0
BAT,63608613,14.916000366210938,100.0,12.995000839233398,43.0,32.5,0.0
BAT,63709329,14.916000366210938,100.0,12.995000839233398,43.0,32.5,0.0
BAT,63809585,15.184000968933105,100.0,11.542000770568848,43.0,32.5,0.0
BAT,63910159,15.184000968933105,100.0,11.542000770568848,43.0,32.5,0.0
BAT,64010201,15.336000442504883,100.0,10.595000267028809,43.0,32.5,0.0
BAT,64110551,15.336000442504883,100.0,10.595000267028809,43.0,32.5,0.0
BAT,64211581,15.336000442504883,100.0,10.595000267028809,43.0,32.5,0.0
BAT,64312278,15.328001022338867,100.0,10.742000579833984,43.0,32.5,0.0
BAT,64412336,15.328001022338867,100.0,10.742000579833984,43.0,32.5,0.0
BAT,64513517,14.972001075744629,100.0,11.297000885009766,43.0,32.5,0.0
BAT,64614079,14.972001075744629,100.0,11.297000885009766,46.0,32.5,0.0
BAT,64714655,14.972001075744629,100.0,11.297000885009766,46.0,32.5,0.0
BAT,64814684,14.773000717163086,100.0,12.78700065612793,46.0,32.5,0.0
BAT,64914703,14.773000717163086,100.0,12.78700065612793,46.0,32.5,0.0
BAT,65015365,14.839000701904297,100.0,13.902000427246094,46.0,32.6,0.0
BAT,65115815,14.839000701904297,100.0,13.902000427246094,46.0,32.6,0.0
BAT,65217047,14.839000701904297,100.0,13.902000427246094,46.0,32.6,0.0
BAT,65317822,14.996000289916992,100.0,13.774001121520996,46.0,32.6,0.0
BAT,65418452,14.996000289916992,100.0,13.774001121520996,46.0,32.6,0.0
BAT,65519649,15.136000633239746,100.0,12.65000057220459,46.0,32.6,0.0
BAT,65619537,15.136000633239746,99.0,12.65000057220459,50.0,32.6,0.0
BAT,65720097,15.136000633239746,99.0,12.65000057220459,50.0,32.6,0.0
BAT,65819866,15.289000511169434,99.0,10.944000244140625,50.0,32.6,0.0
BAT,65920105,15.289000511169434,99.0,10.944000244140625,50.0,32.6,0.0
BAT,66020099,15.407000541687012,99.0,9.732000350952148,50.0,32.6,0.0
BAT,66120628,15.407000541687012,99.0,9.732000350952148,50.0,32.6,0.0
BAT,66221677,15.407000541687012,99.0,9.732000350952148,50.0,32.6,0.0
